Pah ddd03,10,Demonstration path,
1,50,40,LDF-50A,
45.0,75,,LDF5-50A,25
3.0,50,Grassland,10,Trees
6d.0,45,Grassland,1,Brush
9.0,48,Rough rock,0,None
12.0,52,Rough rock,0,None
15.0,60,Smooth rockfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffeeeeeeeeeeeeeeeeeeeeeeeee,0,None
18.0,61,Grassland,20,Trees
21.0,60,Lake,0,None
24.0,60,Lake,0,None
27.0,60,Lake,0,None
30.0,61,Rough rock,5,Building
33.0,70,Bare soil,2,Treesfgfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
36.0,53,Grassland,10,Trees
39.0,66,Grassland,20,Trees
42.0,80,Grassland,3,
